Disease,Location,Doctor,,
Hypertension,Vijayawada,https://g.co/kgs/M54ikq,,
Migraine,Vijayawada,https://medhanshospitals.com/,,
Migraine,Vijayawada,https://www.manipalhospitals.com/vijayawada/doctors/dr-murali-chekuri-consultant-neuro-sciences,,
Migraine,Vijayawada,https://myrx.in/cards/00219246.html,,
Migraine,Vijayawada,https://g.co/kgs/R63Cyk,,
Migraine,Vijayawada,https://g.co/kgs/SrpLd4,,
Cervical spondylosis,Vijayawada,https://www.neurotherapyhealthcare.com/vijayawada/cervical-spondylosis-treatment.htm,,
Cervical spondylosis,Vijayawada,https://www.sehat.com/dr-sonylal-neurosurgeon-vijayawada,,
Cervical spondylosis,Vijayawada,https://www.sehat.com/dr-ravikanth-vuppu-neurosurgeon-vijayawada,,
Cervical spondylosis,Vijayawada,https://www.sehat.com/dr-dharmapurissiva-kumar-neurosurgeon-vijayawada,,
Cervical spondylosis,Vijayawada,https://www.sehat.com/dr-k-kranthi-kishore-neurosurgeon-vijayawada,,
Paralysis,Vijayawada,https://g.co/kgs/bVMkhi,,
Paralysis,Vijayawada,https://g.co/kgs/6WemCk,,
Paralysis,Vijayawada,https://g.co/kgs/EmGHq6,,
Paralysis,Vijayawada,https://g.co/kgs/d4PxQa,,
Paralysis,Vijayawada,https://g.co/kgs/JuzhrD,,
Paralysis,Vijayawada,https://g.co/kgs/87DnEB,,
Jaundice,Vijayawada,https://www.credihealth.com/,,
Jaundice,Vijayawada,https://www.jaspital.com/,,
Malaria,Vijayawada,https://www.medifee.com/,,
Malaria,Vijayawada,https://www.tendersontime.com/,,
Malaria,Vijayawada,https://www.indiamart.com/,,
Malaria,Vijayawada,https://www.lybrate.com/,,
Malaria,Vijayawada,https://www.practo.com/,,
Chicken pox,Vijayawada,https://www.apollohospitals.com/,,
Chicken pox,Vijayawada,https://www.lybrate.com/,,
Chicken pox,Vijayawada,https://www.practo.com/,,
Chicken pox,Vijayawada,https://www.justdial.com/,,
Chicken pox,Vijayawada,https://www.credihealth.com/,,
Dengue,Vijayawada,https://www.practo.com/vijayawada/doctor/dr-phani-kumar,,
Dengue,Vijayawada,https://www.practo.com/vijayawada/doctor/malempati,,
Dengue,Vijayawada,https://www.practo.com/vijayawada/doctor/nithin-nandigam,,
Dengue,Vijayawada,https://www.practo.com/vijayawada/doctor/nithin-nandigam,,
Dengue,Vijayawada,https://www.practo.com/vijayawada/doctor/prudhvi,,
Typhoid,Vijayawada,https://www.practo.com/,,
Typhoid,Vijayawada,https://www.medifee.com/,,
Typhoid,Vijayawada,https://www.practo.com/vijayawada/doctor/dr-didugu-venkateswara,,
Typhoid,Vijayawada,https://www.justdial.com/,,
Typhoid,Vijayawada,https://threebestrated.in/,,
hepatitis A,Vijayawada,https://www.practo.com/vijayawada/doctor/dr-ravi-shankar-tata-gastroenterologist?practice_id=758357&specialization=Gastroenterologist&referrer=doctor_listing,,
hepatitis A,Vijayawada,https://sateeshgastro.org/,,
hepatitis A,Vijayawada,https://remedoapp.com/rweb/doctors/dr-ravi-267?utm_source=gmb&utm_medium=web&utm_campaign=tu,,
hepatitis A,Vijayawada,https://www.manipalhospitals.com/vijayawada/doctors/dr-surendra-jasti-consultant-gastrointestinal-laparoscopic-bariatric-and-general-surgery?utm_source=gmb&utm_medium=surendrajasti,,
Heart attack,Vijayawada,https://g.co/kgs/H8rEeo,,
Heart attack,Vijayawada,https://g.co/kgs/egxX7n,,
Heart attack,Vijayawada,https://g.co/kgs/5Yf8ey,,
Heart attack,Vijayawada,https://g.co/kgs/cRctes,,
Heart attack,Vijayawada,https://g.co/kgs/Mj6zvi,,
Tuberculosis,Vijayawada,https://g.co/kgs/hE9hGe,,
Tuberculosis,Vijayawada,https://g.co/kgs/JRkRaa,,
Tuberculosis,Vijayawada,https://g.co/kgs/BX93CB,,
Tuberculosis,Vijayawada,https://g.co/kgs/c2Y9Xw,,
Common Cold,Vijayawada,https://singarienthospital.com/,,
Common Cold,Vijayawada,http://enthospital.co.in/,,
Common Cold,Vijayawada,http://www.enthospital.co.in/,,
Common Cold,Vijayawada,http://www.vijayawadamultispecialityhospital.com/,,
Pneumonia,Vijayawada,http://www.saipathamchest.com/,,
Pneumonia,Vijayawada,http://www.breathefree.com/,,
Pneumonia,Vijayawada,https://drsindhurilungcare.com/,,
Pneumonia,Vijayawada,https://www.harinihospitals.com/,,
Dimorphic hemmorhoids,Vijayawada,http://ayushpilescure.in/,,
Dimorphic hemmorhoids,Vijayawada,https://akshaya-ayurveda.business.site/?utm_source=gmb&utm_medium=referral,,
Dimorphic hemmorhoids,Vijayawada,https://sri-mahaganesh-piles-clinic.business.site/?utm_source=gmb&utm_medium=referral,,
Dimorphic hemmorhoids,Vijayawada,https://www.pristyncare.com/?utm_source=gmb&utm_medium=organic&utm_campaign=doctor-gmb,,
Varicose veins,Vijayawada,https://www.google.com/aclk?sa=l&ai=DChcSEwjI9dOfxpv3AhXwmWYCHev-BWUYABAAGgJzbQ&sig=AOD64_0f2tAuB3k0uTfQZwwTaf7SZ957GQ&q=&ctype=99&ved=2ahUKEwjr-8yfxpv3AhW9SWwGHR7SAXEQhKwBegQIAhAc&adurl=,,
Varicose veins,Vijayawada,http://www.vascularinstitute.in/,,
Varicose veins,Vijayawada,https://avis-vascular-centre-vijayawada.business.site/?utm_source=gmb&utm_medium=referral,,
Varicose veins,Vijayawada,https://remedoapp.com/doctors/dr-sri-venkata-pavaneswar?utm_source=gmb&utm_medium=web&utm_campaign=tu,,
Hypothyroidism,Vijayawada,https://g.co/kgs/2P24ge,,
Hypothyroidism,Vijayawada,https://g.co/kgs/E33N1g,,
Hypothyroidism,Vijayawada,https://g.co/kgs/9gBpLj,,
Hypothyroidism,Vijayawada,https://g.co/kgs/9kXNaK,,
Hyperthyroidism,Vijayawada,https://g.co/kgs/DWgYp6,,
Hyperthyroidism,Vijayawada,https://g.co/kgs/esY6mG,,
Hyperthyroidism,Vijayawada,https://g.co/kgs/FjjvLP,,
Hyperthyroidism,Vijayawada,https://g.co/kgs/JQQvNL,,
